01/13/2015 21:06 Crunched tallies s=0 e=0
01/13/2015 21:15 Crunched tallies s=1 e=1
01/13/2015 21:22 Crunched tallies s=3 e=3
01/13/2015 21:28 Crunched tallies s=3 e=3
01/14/2015 10:43 Crunched tallies s=4 e=4
01/14/2015 11:14 Crunched tallies s=4 e=4
01/15/2015 10:42 Crunched tallies s=5 e=5
01/15/2015 19:57 Crunched tallies s=5 e=5
01/15/2015 20:19 Crunched tallies s=5 e=5
01/15/2015 20:32 Crunched tallies s=7 e=7
01/16/2015 11:18 Crunched tallies s=7 e=7
01/19/2015 10:57 Crunched tallies s=7 e=7
01/19/2015 11:42 Crunched tallies s=9 e=9
01/21/2015 12:35 Crunched tallies s=9 e=9
01/22/2015 11:02 Crunched tallies s=9 e=9
11/28/2016 20:40 Crunched tallies s=8 e=8
