year,cat,pop
1945,Buddhism,116237936
1945,Christianity,36955033
1945,Christianity,391332035
1945,Christianity,98501171
1945,Christianity,13674466
1945,Christianity,160887585
1945,Islam,62273219
1945,Islam,19436742
1945,Islam,49050320
1945,Judaism,1426350
1945,Judaism,856827
1945,Judaism,7796835
1945,Judaism,1929388
1950,Buddhism,144980765
1950,Buddhism,14031137
1950,Christianity,38307544
1950,Christianity,401935856
1950,Christianity,106610911
1950,Christianity,16324768
1950,Christianity,133301043
1950,Islam,387994
1950,Islam,215867687
1950,Islam,20944082
1950,Islam,56921304
1950,Judaism,1860297
1950,Judaism,2204231
1950,Judaism,7105125
1950,Judaism,2528641
1955,Buddhism,145861839
1955,Buddhism,33522360
1955,Christianity,38177572
1955,Christianity,474378130
1955,Christianity,111661338
1955,Christianity,22437724
1955,Christianity,189347338
1955,Islam,445582
1955,Islam,240487382
1955,Islam,24256503
1955,Islam,78882540
1955,Judaism,1653007
1955,Judaism,2496432
1955,Judaism,6611524
1955,Judaism,2225241
1960,Buddhism,183672909
1960,Buddhism,16766250
1960,Christianity,41846700
1960,Christianity,541957872
1960,Christianity,118268109
1960,Christianity,44601144
1960,Christianity,220293770
1960,Islam,521848
1960,Islam,303101053
1960,Islam,27174803
1960,Islam,104325384
1960,Judaism,1716903
1960,Judaism,2818847
1960,Judaism,6892701
1960,Judaism,2300405
1965,Buddhism,194287704
1965,Buddhism,18305680
1965,Christianity,45086639
1965,Christianity,614115021
1965,Christianity,125954494
1965,Christianity,55119929
1965,Christianity,234437703
1965,Islam,598115
1965,Islam,40000
1965,Islam,367705416
1965,Islam,17097714
1965,Islam,129192812
1965,Judaism,1760345
1965,Judaism,3295632
1965,Judaism,6849626
1965,Judaism,2348076
1970,Buddhism,207939998
1970,Buddhism,20862636
1970,Christianity,46079842
1970,Christianity,671006540
1970,Christianity,134595635
1970,Christianity,76991429
1970,Christianity,247932230
1970,Islam,700450
1970,Islam,374000
1970,Islam,403431693
1970,Islam,36572141
1970,Islam,151264004
1970,Judaism,1923986
1970,Judaism,3663721
1970,Judaism,6670904
1970,Judaism,2574798
1975,Buddhism,237395084
1975,Buddhism,22929200
1975,Christianity,48153338
1975,Christianity,748325898
1975,Christianity,137192284
1975,Christianity,101587361
1975,Christianity,264857729
1975,Islam,2700
1975,Islam,924465
1975,Islam,420500
1975,Islam,379000166
1975,Islam,44373213
1975,Islam,238953304
1975,Judaism,2253657
1975,Judaism,3910099
1975,Judaism,6839862
1975,Judaism,2910930
1980,Buddhism,268001266
1980,Buddhism,30400850
1980,Christianity,51093360
1980,Christianity,798834729
1980,Christianity,137902427
1980,Christianity,125285902
1980,Christianity,278962191
1980,Islam,1584485
